ID;journal;publ_yr;year;volume;start_page;end_page;article_group;included_in_analysis;exclusion_criteria;multi_sample_number_of;N_for_analysis;study_design;study_design_red;online_sample;student_sample;supplemental_files
121;PAID;1981;2;2;343;346;PAID (included);1;NA;1;90;quasi-experimental (between-design);quasi-experimental;0;0;0
122;PAID;1981;2;2;346;350;PAID (included);0;N equivocal;1;NA;NA;NA;NA;NA;NA
123;PAID;1981;2;2;350;352;PAID (included);1;NA;1;97;correlational;correlational;0;0;0
124;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
125;PAID;1981;2;2;355;356;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
126;PAID;1982;3;3;1;16;PAID (included);1;NA;1;48;correlational;correlational;0;0;0
127;PAID;1982;3;3;17;25;PAID (included);1;NA;1;43;correlational;correlational;0;1;0
128;PAID;1982;3;3;27;34;PAID (included);1;NA;1;48;quasi-experimental (between-design);quasi-experimental;0;1;0
129;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
130;PAID;1982;3;3;43;51;PAID (included);1;NA;1;130;quasi-experimental (between-design);quasi-experimental;0;0;0
131;PAID;1982;3;3;53;63;PAID (included);1;NA;1;240;correlational;correlational;0;0;0
132;PAID;1982;3;3;65;71;PAID (included);1;NA;1;85;correlational;correlational;0;0;0
133;PAID;1982;3;3;73;80;PAID (included);1;NA;1;116;correlational;correlational;0;1;0
133;PAID;1982;3;3;73;80;PAID (included);1;NA;2;406;correlational;correlational;0;1;0
133;PAID;1982;3;3;73;80;PAID (included);1;NA;3;1198;correlational;correlational;0;0;0
134;PAID;1982;3;3;81;83;PAID (included);1;NA;1;114;quasi-experimental (between-design);quasi-experimental;0;1;0
135;PAID;1982;3;3;83;84;PAID (included);1;NA;1;64;quasi-experimental (between-design);quasi-experimental;0;1;0
136;PAID;1982;3;3;84;87;PAID (included);1;NA;1;201;correlational;correlational;0;0;0
137;PAID;1982;3;3;87;88;PAID (included);1;NA;1;120;correlational;correlational;0;0;0
138;PAID;1982;3;3;89;92;PAID (included);1;NA;1;133;correlational;correlational;0;1;0
139;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
140;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
141;PAID;1982;3;3;107;117;PAID (included);1;NA;1;343;correlational;correlational;0;0;0
142;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
143;PAID;1982;3;3;127;144;PAID (included);1;NA;1;97;correlational;correlational;0;0;0
144;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
145;PAID;1982;3;3;153;160;PAID (included);1;NA;1;732;correlational;correlational;0;0;0
145;PAID;1982;3;3;153;160;PAID (included);1;NA;2;1327;correlational;correlational;0;0;0
146;PAID;1982;3;3;161;166;PAID (included);1;NA;1;68;correlational;correlational;0;0;0
147;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
148;PAID;1982;3;3;177;188;PAID (included);1;NA;1;39;quasi-experimental (between-design);quasi-experimental;0;1;0
148;PAID;1982;3;3;177;188;PAID (included);1;NA;2;38;quasi-experimental (between-design);quasi-experimental;0;1;0
149;PAID;1982;3;3;189;203;PAID (included);0;theory/conceptual paper;1;NA;NA;NA;NA;NA;NA
150;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
151;PAID;1982;3;3;211;214;PAID (included);1;NA;1;92;experimental (between-design);experimental;0;1;0
152;PAID;1982;3;3;215;216;PAID (included);0;letter/commentary/reply;1;NA;NA;NA;NA;NA;NA
153;PAID;1982;3;3;217;218;PAID (included);0;letter/commentary/reply;1;NA;NA;NA;NA;NA;NA
154;PAID;1982;3;3;219;229;PAID (included);1;NA;1;114;quasi-experimental (between-design);quasi-experimental;0;0;0
155;PAID;1982;3;3;221;222;PAID (included);1;NA;1;211;correlational;correlational;0;1;0
156;PAID;1982;3;3;223;224;PAID (included);1;NA;1;140;correlational;correlational;0;0;0
157;PAID;1982;3;3;225;226;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
158;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
159;PAID;1982;3;3;237;247;PAID (included);1;NA;1;14238;correlational;correlational;0;0;0
160;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
161;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
162;PAID;1982;3;3;271;285;PAID (included);1;NA;1;24;quasi-experimental (between-design);quasi-experimental;0;0;0
163;PAID;1982;3;3;287;301;PAID (included);1;NA;1;97;correlational;correlational;0;0;0
164;PAID;1982;3;3;303;309;PAID (included);1;NA;1;177;correlational;correlational;0;0;0
164;PAID;1982;3;3;303;309;PAID (included);1;NA;2;172;correlational;correlational;0;0;0
165;PAID;1982;3;3;311;320;PAID (included);1;NA;1;80;quasi-experimental (between-design);quasi-experimental;0;0;0
166;PAID;1982;3;3;321;326;PAID (included);1;NA;1;399;quasi-experimental (between-design);quasi-experimental;0;0;0
167;PAID;1982;3;3;327;328;PAID (included);0;theory/conceptual paper;1;NA;NA;NA;NA;NA;NA
168;PAID;1982;3;3;329;330;PAID (included);1;NA;1;95;correlational;correlational;0;1;0
169;PAID;1982;3;3;331;331;PAID (included);1;NA;1;815;quasi-experimental (between-design);quasi-experimental;0;0;0
170;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
171;PAID;1982;3;3;335;338;PAID (included);1;NA;1;285;correlational;correlational;0;0;0
172;PAID;1982;3;3;339;340;PAID (included);1;NA;1;254;correlational;correlational;0;0;0
173;PAID;1982;3;3;341;342;PAID (included);1;NA;1;53;quasi-experimental (between-design);quasi-experimental;0;1;0
174;PAID;1982;3;3;343;344;PAID (included);1;NA;1;180;quasi-experimental (between-design);quasi-experimental;0;0;0
175;PAID;1982;3;3;345;347;PAID (included);1;NA;1;809;correlational;correlational;0;0;0
176;PAID;1982;3;3;349;349;PAID (included);0;letter/commentary/reply;1;NA;NA;NA;NA;NA;NA
177;PAID;1982;3;3;351;353;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
178;PAID;1982;3;3;355;369;PAID (included);0;theory/conceptual paper;1;NA;NA;NA;NA;NA;NA
179;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
180;PAID;1982;3;3;373;380;PAID (included);1;NA;1;24;quasi-experimental (between-design);quasi-experimental;0;0;0
180;PAID;1982;3;3;373;380;PAID (included);1;NA;2;36;quasi-experimental (between-design);quasi-experimental;0;1;0
181;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
182;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
183;PAID;1982;3;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
184;PAID;1982;3;3;423;438;PAID (included);1;NA;1;2173;quasi-experimental (between-design);quasi-experimental;0;0;0
